"subject" "activitiName" "instrument" "acceleration" "magnitude" "jerk" "variable" "average"
7 "LAYING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0696747218429487
7 "LAYING" "gyroscope" "NA" "NA" "jerk" "std" -0.979730946025641
7 "LAYING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.928462177019231
7 "LAYING" "gyroscope" "NA" "magnitude" "NA" "std" -0.918777488846154
7 "LAYING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.978563370576923
7 "LAYING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.970304086634615
7 "SITTING" "accelerometer" "body" "NA" "NA" "mean" -0.443544005779792
7 "SITTING" "accelerometer" "body" "NA" "NA" "std" -0.910041371559028
7 "SITTING" "accelerometer" "body" "NA" "jerk" "mean" -0.470870937704444
7 "SITTING" "accelerometer" "body" "NA" "jerk" "std" -0.975735627708333
7 "SITTING" "accelerometer" "body" "magnitude" "NA" "mean" -0.913694441666667
7 "SITTING" "accelerometer" "body" "magnitude" "NA" "std" -0.884436629010417
7 "SITTING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.9737569303125
7 "SITTING" "accelerometer" "body" "magnitude" "jerk" "std" -0.969369070833333
7 "SITTING" "accelerometer" "gravity" "NA" "NA" "mean" 0.346733305290278
7 "SITTING" "accelerometer" "gravity" "NA" "NA" "std" -0.923707077777778
7 "SITTING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.918432107083333
7 "SITTING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.881957619770833
7 "SITTING" "gyroscope" "NA" "NA" "NA" "mean" -0.484172004352153
7 "SITTING" "gyroscope" "NA" "NA" "NA" "std" -0.940635609826389
7 "SITTING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0596388926416667
7 "SITTING" "gyroscope" "NA" "NA" "jerk" "std" -0.978782797222222
7 "SITTING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.915476245104167
7 "SITTING" "gyroscope" "NA" "magnitude" "NA" "std" -0.89693414625
7 "SITTING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.980150056875
7 "SITTING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.975590184479167
7 "STANDING" "accelerometer" "body" "NA" "NA" "mean" -0.448124077152516
7 "STANDING" "accelerometer" "body" "NA" "NA" "std" -0.938631927264151
7 "STANDING" "accelerometer" "body" "NA" "jerk" "mean" -0.47340355614066
7 "STANDING" "accelerometer" "body" "NA" "jerk" "std" -0.972397881886792
7 "STANDING" "accelerometer" "body" "magnitude" "NA" "mean" -0.944168054811321
7 "STANDING" "accelerometer" "body" "magnitude" "NA" "std" -0.935439060943396
7 "STANDING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.970399597264151
7 "STANDING" "accelerometer" "body" "magnitude" "jerk" "std" -0.968829258962264
7 "STANDING" "accelerometer" "gravity" "NA" "NA" "mean" 0.263154755622642
7 "STANDING" "accelerometer" "gravity" "NA" "NA" "std" -0.964413839119497
7 "STANDING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.942724659245283
7 "STANDING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.933590156792453
7 "STANDING" "gyroscope" "NA" "NA" "NA" "mean" -0.479053788470094
7 "STANDING" "gyroscope" "NA" "NA" "NA" "std" -0.949095826981132
7 "STANDING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0619909096509434
7 "STANDING" "gyroscope" "NA" "NA" "jerk" "std" -0.973662648616352
7 "STANDING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.941065274716981
7 "STANDING" "gyroscope" "NA" "magnitude" "NA" "std" -0.919143548962264
7 "STANDING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.975524125849057
7 "STANDING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.972003674150943
7 "WALKING" "accelerometer" "body" "NA" "NA" "mean" -0.0370990898945322
7 "WALKING" "accelerometer" "body" "NA" "NA" "std" -0.0962189527982749
7 "WALKING" "accelerometer" "body" "NA" "jerk" "mean" -0.0876433959855263
7 "WALKING" "accelerometer" "body" "NA" "jerk" "std" -0.191586285266316
7 "WALKING" "accelerometer" "body" "magnitude" "NA" "mean" -0.124526346761404
7 "WALKING" "accelerometer" "body" "magnitude" "NA" "std" -0.27513074445614
7 "WALKING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.115683815146667
7 "WALKING" "accelerometer" "body" "magnitude" "jerk" "std" -0.0248478436385965
7 "WALKING" "accelerometer" "gravity" "NA" "NA" "mean" 0.204207514855561
7 "WALKING" "accelerometer" "gravity" "NA" "NA" "std" -0.967138399005848
7 "WALKING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.0978090439438596
7 "WALKING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.198554708385965
7 "WALKING" "gyroscope" "NA" "NA" "NA" "mean" -0.142401328365614
7 "WALKING" "gyroscope" "NA" "NA" "NA" "std" -0.408028335277778
7 "WALKING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0726673706851228
7 "WALKING" "gyroscope" "NA" "NA" "jerk" "std" -0.281368892990058
7 "WALKING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.249434558435702
7 "WALKING" "gyroscope" "NA" "magnitude" "NA" "std" -0.271089040951754
7 "WALKING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.227681317913772
7 "WALKING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.0897532467578947
7 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "NA" "mean" -0.0122400279843972
7 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "NA" "std" -0.0588392185757092
7 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "jerk" "mean" -0.0969177683347518
7 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "jerk" "std" -0.223549999214362
7 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "NA" "mean" 0.119395297388298
7 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "NA" "std" 0.117994062889043
7 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "jerk" "mean" -0.0514648666332979
7 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "jerk" "std" 0.0990202341765958
7 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "NA" "NA" "mean" 0.215272140385816
7 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "NA" "NA" "std" -0.948770375177305
7 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "mean" 0.0198795285851064
7 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "std" 0.214544028088723
7 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "NA" "mean" -0.148596185857057
7 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "NA" "std" -0.396831736404255
7 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "jerk" "mean" -0.0589549043659574
7 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "jerk" "std" -0.411817198353191
7 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "NA" "mean" -0.221892938138298
7 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "NA" "std" -0.328330627574468
7 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.344163318170213
7 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "std" -0.324161686307447
7 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "NA" "mean" -0.159646272877778
7 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "NA" "std" -0.252084321873203
7 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "jerk" "mean" -0.250318331952941
7 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "jerk" "std" -0.52265734748366
7 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "NA" "mean" -0.288346599773529
7 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "NA" "std" -0.375025857058824
7 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "jerk" "mean" -0.456739239901961
7 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "jerk" "std" -0.484353537058824
7 "WALKING_UPSTAIRS" "accelerometer" "gravity" "NA" "NA" "mean" 0.0580653020915033
7 "WALKING_UPSTAIRS" "accelerometer" "gravity" "NA" "NA" "std" -0.918091072810458
7 "WALKING_UPSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.198074437978431
7 "WALKING_UPSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "std" -0.33474460745098
7 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "NA" "mean" -0.226998755355327
7 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "NA" "std" -0.437915762647059
7 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "jerk" "mean" -0.0687792483372549
7 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "jerk" "std" -0.656746858169935
7 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "NA" "mean" -0.386541055754902
7 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "NA" "std" -0.431569667019608
7 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.667648526960784
7 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "std" -0.690259520196078
8 "LAYING" "accelerometer" "body" "NA" "NA" "mean" -0.45197399962642
8 "LAYING" "accelerometer" "body" "NA" "NA" "std" -0.935488730432099
8 "LAYING" "accelerometer" "body" "NA" "jerk" "mean" -0.469476407191111
8 "LAYING" "accelerometer" "body" "NA" "jerk" "std" -0.973281930833333
8 "LAYING" "accelerometer" "body" "magnitude" "NA" "mean" -0.933794139703704
8 "LAYING" "accelerometer" "body" "magnitude" "NA" "std" -0.915254154712963
8 "LAYING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.967470171018519
8 "LAYING" "accelerometer" "body" "magnitude" "jerk" "std" -0.963372805740741
8 "LAYING" "accelerometer" "gravity" "NA" "NA" "mean" 0.301274645987654
8 "LAYING" "accelerometer" "gravity" "NA" "NA" "std" -0.939566497395062
8 "LAYING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.935308633888889
8 "LAYING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.91325033
8 "LAYING" "gyroscope" "NA" "NA" "NA" "mean" -0.47139529663179
8 "LAYING" "gyroscope" "NA" "NA" "NA" "std" -0.962277992685185
8 "LAYING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0716102810932099
8 "LAYING" "gyroscope" "NA" "NA" "jerk" "std" -0.977237244320988
8 "LAYING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.934391149537037
8 "LAYING" "gyroscope" "NA" "magnitude" "NA" "std" -0.934628867222222
8 "LAYING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.973421068611111
8 "LAYING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.970411195740741
8 "SITTING" "accelerometer" "body" "NA" "NA" "mean" -0.45474899772029
8 "SITTING" "accelerometer" "body" "NA" "NA" "std" -0.946981287692029
8 "SITTING" "accelerometer" "body" "NA" "jerk" "mean" -0.481129727544957
8 "SITTING" "accelerometer" "body" "NA" "jerk" "std" -0.98456615173913
8 "SITTING" "accelerometer" "body" "magnitude" "NA" "mean" -0.950060743913044
8 "SITTING" "accelerometer" "body" "magnitude" "NA" "std" -0.930832427815217
8 "SITTING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.983496902282609
8 "SITTING" "accelerometer" "body" "magnitude" "jerk" "std" -0.979993794565217
8 "SITTING" "accelerometer" "gravity" "NA" "NA" "mean" 0.445481393543478
8 "SITTING" "accelerometer" "gravity" "NA" "NA" "std" -0.946565200021739
8 "SITTING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.952139704347826
8 "SITTING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.929943615630435
8 "SITTING" "gyroscope" "NA" "NA" "NA" "mean" -0.499872103021739
8 "SITTING" "gyroscope" "NA" "NA" "NA" "std" -0.972090714456522
8 "SITTING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0590518753768116
8 "SITTING" "gyroscope" "NA" "NA" "jerk" "std" -0.989127443188406
8 "SITTING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.949244516304348
8 "SITTING" "gyroscope" "NA" "magnitude" "NA" "std" -0.953126394347826
8 "SITTING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.989769016086957
8 "SITTING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.98645196673913
8 "STANDING" "accelerometer" "body" "NA" "NA" "mean" -0.454989535869753
8 "STANDING" "accelerometer" "body" "NA" "NA" "std" -0.949753423117284
8 "STANDING" "accelerometer" "body" "NA" "jerk" "mean" -0.476323192063704
8 "STANDING" "accelerometer" "body" "NA" "jerk" "std" -0.983618913518518
8 "STANDING" "accelerometer" "body" "magnitude" "NA" "mean" -0.953754477407407
8 "STANDING" "accelerometer" "body" "magnitude" "NA" "std" -0.937907685772222
8 "STANDING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.982333334907407
8 "STANDING" "accelerometer" "body" "magnitude" "jerk" "std" -0.97953384
8 "STANDING" "accelerometer" "gravity" "NA" "NA" "mean" 0.256423456602716
8 "STANDING" "accelerometer" "gravity" "NA" "NA" "std" -0.954962748333333
8 "STANDING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.953762884074074
8 "STANDING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.937187185222222
8 "STANDING" "gyroscope" "NA" "NA" "NA" "mean" -0.484012542305247
8 "STANDING" "gyroscope" "NA" "NA" "NA" "std" -0.972460449567901
8 "STANDING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0647083223308642
8 "STANDING" "gyroscope" "NA" "NA" "jerk" "std" -0.985450917222222
8 "STANDING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.958706360462963
8 "STANDING" "gyroscope" "NA" "magnitude" "NA" "std" -0.953672307962963
8 "STANDING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.985644910555556
8 "STANDING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.982146334259259
8 "WALKING" "accelerometer" "body" "NA" "NA" "mean" -0.00337831344961806
8 "WALKING" "accelerometer" "body" "NA" "NA" "std" 0.0138514192190972
8 "WALKING" "accelerometer" "body" "NA" "jerk" "mean" -0.0882421018037847
8 "WALKING" "accelerometer" "body" "NA" "jerk" "std" -0.127991473013889
8 "WALKING" "accelerometer" "body" "magnitude" "NA" "mean" -0.0217693274666667
8 "WALKING" "accelerometer" "body" "magnitude" "NA" "std" -0.270613130570833
8 "WALKING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.095333326405
8 "WALKING" "accelerometer" "body" "magnitude" "jerk" "std" -0.230503592052083
8 "WALKING" "accelerometer" "gravity" "NA" "NA" "mean" 0.170072105457104
8 "WALKING" "accelerometer" "gravity" "NA" "NA" "std" -0.962724553541667
8 "WALKING" "accelerometer" "gravity" "magnitude" "NA" "mean" 0.0516786278104167
8 "WALKING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.1804072826
8 "WALKING" "gyroscope" "NA" "NA" "NA" "mean" -0.0860020202984722
8 "WALKING" "gyroscope" "NA" "NA" "NA" "std" -0.175780623730903
8 "WALKING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0732143061493056
8 "WALKING" "gyroscope" "NA" "NA" "jerk" "std" -0.354195140770833
8 "WALKING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.152172143423542
8 "WALKING" "gyroscope" "NA" "magnitude" "NA" "std" -0.283103140927083
8 "WALKING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.406077750208333
8 "WALKING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.542098723125
8 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "NA" "mean" 0.139895470412719
8 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "NA" "std" 0.121551982672368
8 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "jerk" "mean" 0.0892623112811404
8 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "jerk" "std" 0.147784361927632
8 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "NA" "mean" 0.239113034567105
8 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "NA" "std" -0.0124016131710526
8 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "jerk" "mean" 0.297078475094737
8 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "jerk" "std" 0.194071493668421
8 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "NA" "NA" "mean" 0.194865106678772
8 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "NA" "NA" "std" -0.928179169561404
8 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "mean" 0.176599311818421
8 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "std" 0.131337867236842
8 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "NA" "mean" -0.00733692464140351
8 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "NA" "std" -0.163467858099561
8 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "jerk" "mean" -0.0584052159861404
8 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "jerk" "std" -0.175981663971053
8 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "NA" "mean" 0.0494901223671053
8 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "NA" "std" -0.151109750709211
8 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.125684364819737
8 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "std" -0.210234668421053
8 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "NA" "mean" 0.0232645264735772
8 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "NA" "std" 0.0936877501223577
8 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "jerk" "mean" -0.0974474051295935
8 "WALKING_UPSTAIRS" "accelerometer" "body" "NA" "jerk" "std" -0.245359044347154
8 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "NA" "mean" -0.00461894492804878
8 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "NA" "std" -0.318241552963415
8 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "jerk" "mean" -0.136672590463415
8 "WALKING_UPSTAIRS" "accelerometer" "body" "magnitude" "jerk" "std" -0.303781431963415
8 "WALKING_UPSTAIRS" "accelerometer" "gravity" "NA" "NA" "mean" 0.125573422147154
8 "WALKING_UPSTAIRS" "accelerometer" "gravity" "NA" "NA" "std" -0.911291428943089
8 "WALKING_UPSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "mean" 0.121026629195122
8 "WALKING_UPSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "std" -0.227200254219512
8 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "NA" "mean" -0.045234033651626
8 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "NA" "std" -0.0485388215890244
8 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "jerk" "mean" -0.0789247631634146
8 "WALKING_UPSTAIRS" "gyroscope" "NA" "NA" "jerk" "std" -0.420037674715447
8 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "NA" "mean" -0.031581480804878
8 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "NA" "std" -0.146326785481707
8 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.431967296097561
8 "WALKING_UPSTAIRS" "gyroscope" "NA" "magnitude" "jerk" "std" -0.534854161219512
9 "LAYING" "accelerometer" "body" "NA" "NA" "mean" -0.449338683217
9 "LAYING" "accelerometer" "body" "NA" "NA" "std" -0.9325203489
9 "LAYING" "accelerometer" "body" "NA" "jerk" "mean" -0.465285763950067
9 "LAYING" "accelerometer" "body" "NA" "jerk" "std" -0.9637082938
9 "LAYING" "accelerometer" "body" "magnitude" "NA" "mean" -0.9287363664
9 "LAYING" "accelerometer" "body" "magnitude" "NA" "std" -0.918528269277
9 "LAYING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.9588475674
9 "LAYING" "accelerometer" "body" "magnitude" "jerk" "std" -0.9550607587
9 "LAYING" "accelerometer" "gravity" "NA" "NA" "mean" 0.0861553368666667
9 "LAYING" "accelerometer" "gravity" "NA" "NA" "std" -0.954340080333333
9 "LAYING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.9308684376
9 "LAYING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.91512680016
9 "LAYING" "gyroscope" "NA" "NA" "NA" "mean" -0.482658755816
9 "LAYING" "gyroscope" "NA" "NA" "NA" "std" -0.944277968433333
9 "LAYING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0627826614226667
9 "LAYING" "gyroscope" "NA" "NA" "jerk" "std" -0.9615251458
9 "LAYING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.9128652177
9 "LAYING" "gyroscope" "NA" "magnitude" "NA" "std" -0.9009792276
9 "LAYING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.9601655368
9 "LAYING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.952546015
9 "SITTING" "accelerometer" "body" "NA" "NA" "mean" -0.436227776516667
9 "SITTING" "accelerometer" "body" "NA" "NA" "std" -0.884481661727333
9 "SITTING" "accelerometer" "body" "NA" "jerk" "mean" -0.4671638124025
9 "SITTING" "accelerometer" "body" "NA" "jerk" "std" -0.9622212618
9 "SITTING" "accelerometer" "body" "magnitude" "NA" "mean" -0.8955399574
9 "SITTING" "accelerometer" "body" "magnitude" "NA" "std" -0.8664644728
9 "SITTING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.9587170989
9 "SITTING" "accelerometer" "body" "magnitude" "jerk" "std" -0.9505876123
9 "SITTING" "accelerometer" "gravity" "NA" "NA" "mean" 0.320053928950067
9 "SITTING" "accelerometer" "gravity" "NA" "NA" "std" -0.929195496206667
9 "SITTING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.8933617176
9 "SITTING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.8637564342
9 "SITTING" "gyroscope" "NA" "NA" "NA" "mean" -0.472214104017867
9 "SITTING" "gyroscope" "NA" "NA" "NA" "std" -0.935831994166667
9 "SITTING" "gyroscope" "NA" "NA" "jerk" "mean" -0.064191914022
9 "SITTING" "gyroscope" "NA" "NA" "jerk" "std" -0.968399561266667
9 "SITTING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.9188366373
9 "SITTING" "gyroscope" "NA" "magnitude" "NA" "std" -0.9065387749
9 "SITTING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.9708398622
9 "SITTING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.9661790441
9 "STANDING" "accelerometer" "body" "NA" "NA" "mean" -0.448534864033704
9 "STANDING" "accelerometer" "body" "NA" "NA" "std" -0.943989819185185
9 "STANDING" "accelerometer" "body" "NA" "jerk" "mean" -0.46944914475663
9 "STANDING" "accelerometer" "body" "NA" "jerk" "std" -0.969418191333333
9 "STANDING" "accelerometer" "body" "magnitude" "NA" "mean" -0.945748827111111
9 "STANDING" "accelerometer" "body" "magnitude" "NA" "std" -0.938185278444444
9 "STANDING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.966383731444444
9 "STANDING" "accelerometer" "body" "magnitude" "jerk" "std" -0.963678668666667
9 "STANDING" "accelerometer" "gravity" "NA" "NA" "mean" 0.320029126034593
9 "STANDING" "accelerometer" "gravity" "NA" "NA" "std" -0.96464077437037
9 "STANDING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.945167482444444
9 "STANDING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.936105010444444
9 "STANDING" "gyroscope" "NA" "NA" "NA" "mean" -0.467291906088481
9 "STANDING" "gyroscope" "NA" "NA" "NA" "std" -0.936593159148148
9 "STANDING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0651306581940741
9 "STANDING" "gyroscope" "NA" "NA" "jerk" "std" -0.964622901851852
9 "STANDING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.925399645444444
9 "STANDING" "gyroscope" "NA" "magnitude" "NA" "std" -0.909600531333333
9 "STANDING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.968657836111111
9 "STANDING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.965028925
9 "WALKING" "accelerometer" "body" "NA" "NA" "mean" -0.108933651152817
9 "WALKING" "accelerometer" "body" "NA" "NA" "std" -0.162300538683141
9 "WALKING" "accelerometer" "body" "NA" "jerk" "mean" -0.164284049347788
9 "WALKING" "accelerometer" "body" "NA" "jerk" "std" -0.285190237410224
9 "WALKING" "accelerometer" "body" "magnitude" "NA" "mean" -0.208442536162942
9 "WALKING" "accelerometer" "body" "magnitude" "NA" "std" -0.446660361634615
9 "WALKING" "accelerometer" "body" "magnitude" "jerk" "mean" -0.260302165548077
9 "WALKING" "accelerometer" "body" "magnitude" "jerk" "std" -0.319725511923077
9 "WALKING" "accelerometer" "gravity" "NA" "NA" "mean" 0.268192261553974
9 "WALKING" "accelerometer" "gravity" "NA" "NA" "std" -0.969246130769231
9 "WALKING" "accelerometer" "gravity" "magnitude" "NA" "mean" -0.0980840496143461
9 "WALKING" "accelerometer" "gravity" "magnitude" "NA" "std" -0.37942877
9 "WALKING" "gyroscope" "NA" "NA" "NA" "mean" -0.182095107450641
9 "WALKING" "gyroscope" "NA" "NA" "NA" "std" -0.424943878044872
9 "WALKING" "gyroscope" "NA" "NA" "jerk" "mean" -0.0599631380697436
9 "WALKING" "gyroscope" "NA" "NA" "jerk" "std" -0.511355677051282
9 "WALKING" "gyroscope" "NA" "magnitude" "NA" "mean" -0.404169873605769
9 "WALKING" "gyroscope" "NA" "magnitude" "NA" "std" -0.526220170096154
9 "WALKING" "gyroscope" "NA" "magnitude" "jerk" "mean" -0.556417807019231
9 "WALKING" "gyroscope" "NA" "magnitude" "jerk" "std" -0.612109198173077
9 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "NA" "mean" 0.000133061134734127
9 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "NA" "std" -0.0101093090503968
9 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "jerk" "mean" -0.0932873549805556
9 "WALKING_DOWNSTAIRS" "accelerometer" "body" "NA" "jerk" "std" -0.237218246575794
9 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "NA" "mean" 0.184045149467857
9 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "NA" "std" 0.176993649385
9 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "jerk" "mean" -0.0776036552202381
9 "WALKING_DOWNSTAIRS" "accelerometer" "body" "magnitude" "jerk" "std" 0.0552302161928571
9 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "NA" "NA" "mean" 0.273637044626746
9 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "NA" "NA" "std" -0.921696358968254
9 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "mean" 0.145886357935714
9 "WALKING_DOWNSTAIRS" "accelerometer" "gravity" "magnitude" "NA" "std" 0.265120131365238
9 "WALKING_DOWNSTAIRS" "gyroscope" "NA" "NA" "NA" "mean" -0.15572257630119
